country,country_code,year,total_generation,total_co2,total_certified,perc_tracked_total,perc_residual,perc_tracked_renewables,perc_green,residualmix_gco2kwh,methodology
Brazil,BRA,2024,745.72,79090.0,62.750608828352,8.414768120521375,91.58523187947863,9.635262234491908,87.33304725634285,,I-REC
British Virgin Islands,VGB,2020,0.16,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2021,0.17,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2022,0.17,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2023,0.17,110.0,0,0.0,100.0,,0.0,,GO
Brunei,BRN,2020,5.74,5140.0,0,0.0,100.0,,0.0,,GO
Brunei,BRN,2021,5.7,5100.0,0.001744,0.030596491228070177,99.96940350877193,,0.0,,I-REC
Brunei,BRN,2022,5.6,5000.0,0.0044203765,0.07893529464285715,99.92106470535714,,0.0,,I-REC
Brunei,BRN,2023,5.59,4990.0,0.005081778005,0.0909083721824687,99.90909162781753,,0.0,,I-REC
Brunei,BRN,2024,0.0,0.0,0.0022397759999999997,,100.0,,,,I-REC
Bulgaria,BGR,2020,40.14,15410.0,0,0.0,100.0,0.0,18.609865470852014,,GO
Bulgaria,BGR,2021,47.22,19610.0,0,0.0,100.0,0.0,21.83396865734858,,GO
Bulgaria,BGR,2022,50.28,23950.0,0,0.0,100.0,0.0,19.1527446300716,,GO
Bulgaria,BGR,2023,40.11,13560.0,0,0.0,100.0,0.0,25.13089005235602,,GO
Bulgaria,BGR,2024,37.14,9810.0,0,0.0,100.0,0.0,31.09854604200323,,GO
Burkina Faso,BFA,2020,1.59,870.0,0,0.0,100.0,0.0,18.867924528301888,,GO
Burkina Faso,BFA,2021,1.71,940.0,0,0.0,100.0,0.0,18.128654970760234,,GO
Burkina Faso,BFA,2022,1.69,960.0,0,0.0,100.0,0.0,15.384615384615385,,GO
Burkina Faso,BFA,2023,1.73,960.0,0.056503,3.26606936416185,96.73393063583815,18.834333333333333,17.341040462427745,,I-REC
Burkina Faso,BFA,2024,0.0,0.0,0.108181,,100.0,,,,I-REC
Burundi,BDI,2020,0.37,70.0,0,0.0,100.0,0.0,75.67567567567568,,GO
Burundi,BDI,2021,0.39,90.0,0,0.0,100.0,0.0,69.23076923076923,,GO
Burundi,BDI,2022,0.39,90.0,0,0.0,100.0,0.0,69.23076923076923,,GO
Burundi,BDI,2023,0.39,90.0,0,0.0,100.0,0.0,69.23076923076923,,GO
Cabo Verde,CPV,2020,0.42,230.0,0,0.0,100.0,0.0,16.666666666666664,,GO
Cabo Verde,CPV,2021,0.43,230.0,0,0.0,100.0,0.0,18.6046511627907,,GO
Cabo Verde,CPV,2022,0.5,240.0,0,0.0,100.0,0.0,28.000000000000004,,GO
Cambodia,KHM,2020,8.96,3930.0,0,0.0,100.0,0.0,49.44196428571428,,GO
